HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,LHand,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,RHand,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,
0.006094038,0.102736,1.449588,0.102736,-0.77011,-1.05535,0.147222,0.63,1.435866,-0.107422,0.7776961,1.049298,-0.124296,0.9292,-0.248466,-0.08432804,-0.688724,2.147558,-1.181222,0.07367396,0,0.07980996,-0.7026139,2.187526,-1.182672,-0.07665804,
0.006094038,0.102736,1.448054,1.30079,-1.16895,-0.01836604,0.147222,0.63,1.411322,-1.287068,1.475666,0.200996,-0.127364,0.9292,-0.213184,-0.08432804,-0.682588,2.147558,-1.187358,0.07367396,0,0.07060596,-0.70108,2.187526,-1.182672,-0.07665804,
0.006094038,0.102736,0.06898804,-0.2102,-1.195028,-0.13495,0.147222,0.63,0.161112,0.25767,1.483336,0.234744,-0.127364,0.9292,-0.170232,-0.08279404,-0.66418,2.146024,-1.210368,0.07367396,0,0.07213996,-0.70108,2.185992,-1.184206,-0.07665804,
0.006094038,-0.569156,-0.598302,-0.199462,-1.211902,-0.199378,0.147222,0.63,-0.4708961,0.29602,1.46186,0.587564,-0.127364,0.9292,-0.144154,-0.08432804,-0.6181601,2.147558,-1.211902,0.07367396,0,0.07367396,-0.673468,2.187526,-1.182672,-0.07665804,
-4.196167E-05,0.302156,0.101202,-0.199462,-1.216504,-0.182504,0.148756,0.63,0.334454,0.269942,1.458792,0.57836,-0.127364,0.9292,-0.156426,-0.08279404,-0.677986,2.146024,-1.211902,0.07367396,0,0.07674196,-0.730226,2.187526,-1.182672,-0.07665804,
-4.196167E-05,0.302156,0.282214,0.627364,-1.204232,-0.01990004,0.147222,0.63,0.52467,-0.400416,1.46186,0.5553499,-0.135034,0.9296,-0.154892,-0.08432804,-0.677986,2.147558,-1.211902,0.07367396,0,0.07674196,-0.730226,2.187526,-1.182672,-0.07665804,
-0.001575962,0.302156,1.635202,0.621228,-1.187358,-0.01836604,0.147222,0.63,1.465012,-0.426494,1.460326,0.260822,-0.135034,0.9292,-0.164096,-0.08279404,-0.5951501,2.147558,-1.211902,0.07367396,0,0.07674196,-0.648924,2.187526,-1.182672,-0.07665804,
0.03677404,0.09353204,1.457258,0.02910404,-1.208834,-0.03063804,0.147222,0.63,1.463478,-0.09208196,1.474132,0.170316,-0.135034,0.9296,-0.168698,-0.09353204,-0.7592881,2.147558,-1.211902,0.07367396,0,0.08594596,-0.814596,2.187526,-1.182672,-0.07665804,
